,open,high,low,close,volume,value
2025-04-29 19:30:00,136944000.0,136945000.0,136920000.0,136945000.0,0.10197185,13964461.94576
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136933000.0,0.30430555,41672798.49262
2025-04-29 19:30:00,136944000.0,136945000.0,136944000.0,136945000.0,0.04764437,6524657.2061
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136946000.0,0.30133342,41265814.72398
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136945000.0,0.31243269,42785770.40173
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.24426597,33449618.93777
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136934000.0,0.13383774,18327996.03307
2025-04-29 19:31:00,136945000.0,136945000.0,136933000.0,136945000.0,0.00125013,171197.85285
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136950000.0,0.07133794,9769629.78486
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136934000.0,0.08218185,11254540.5568
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.08213794,11248527.78486
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.09001686,12327427.65115
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.08271413,11327428.3186
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.07213794,9879177.78486
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136934000.0,0.22550436,30880346.77022
2025-04-29 19:31:00,136945000.0,136945000.0,136933000.0,136945000.0,0.00147422,201885.8579
2025-04-29 19:31:00,136945000.0,136945000.0,136933000.0,136933000.0,0.00117711,161198.12895
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136945000.0,0.24061458,32949615.84812
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.19282116,26404889.19278
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.07152512,9795261.27816
2025-04-29 19:31:00,136945000.0,136950000.0,136933000.0,136935000.0,0.07159836,9805290.39756
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136924000.0,0.208016,28484303.14999
